Number of learnable parameters: 50402
train_leads.py sm --device cuda:0
Calling the run method
[1][1/1000][1/1] | loss: 3.609e+00 | loss_train: 6.805e-01 | loss_e0: 7.158e+00 | loss_e1: 7.159e+00 | loss_e2: 3.172e+00 | loss_e3: 2.424e+00 | loss_e4: 9.359e-01 | loss_e5: 8.031e-01
[25][25/1000][1/1] | loss: 1.764e-01 | loss_train: 1.793e-01 | loss_e0: 3.872e-01 | loss_e1: 2.540e-01 | loss_e2: 1.770e-02 | loss_e3: 4.880e-02 | loss_e4: 2.515e-01 | loss_e5: 9.905e-02
[26][26/1000][1/1] | loss: 1.711e-01 | loss_train: 1.686e-01 | loss_e0: 3.322e-01 | loss_e1: 2.345e-01 | loss_e2: 2.034e-02 | loss_e3: 4.565e-02 | loss_e4: 2.615e-01 | loss_e5: 1.324e-01
[27][27/1000][1/1] | loss: 1.751e-01 | loss_train: 1.615e-01 | loss_e0: 2.823e-01 | loss_e1: 2.198e-01 | loss_e2: 2.594e-02 | loss_e3: 4.199e-02 | loss_e4: 2.927e-01 | loss_e5: 1.876e-01
[28][28/1000][1/1] | loss: 1.786e-01 | loss_train: 1.544e-01 | loss_e0: 2.388e-01 | loss_e1: 2.076e-01 | loss_e2: 3.048e-02 | loss_e3: 3.819e-02 | loss_e4: 3.057e-01 | loss_e5: 2.510e-01
[29][29/1000][1/1] | loss: 1.766e-01 | loss_train: 1.414e-01 | loss_e0: 2.015e-01 | loss_e1: 1.960e-01 | loss_e2: 2.919e-02 | loss_e3: 3.403e-02 | loss_e4: 2.886e-01 | loss_e5: 3.104e-01
[30][30/1000][1/1] | loss: 1.704e-01 | loss_train: 1.373e-01 | loss_e0: 1.703e-01 | loss_e1: 1.845e-01 | loss_e2: 2.490e-02 | loss_e3: 2.918e-02 | loss_e4: 2.541e-01 | loss_e5: 3.593e-01
[31][31/1000][1/1] | loss: 1.639e-01 | loss_train: 1.279e-01 | loss_e0: 1.450e-01 | loss_e1: 1.743e-01 | loss_e2: 2.048e-02 | loss_e3: 2.412e-02 | loss_e4: 2.353e-01 | loss_e5: 3.843e-01
[32][32/1000][1/1] | loss: 1.574e-01 | loss_train: 1.158e-01 | loss_e0: 1.252e-01 | loss_e1: 1.678e-01 | loss_e2: 1.667e-02 | loss_e3: 1.917e-02 | loss_e4: 2.359e-01 | loss_e5: 3.798e-01
[33][33/1000][1/1] | loss: 1.504e-01 | loss_train: 1.113e-01 | loss_e0: 1.102e-01 | loss_e1: 1.681e-01 | loss_e2: 1.326e-02 | loss_e3: 1.479e-02 | loss_e4: 2.487e-01 | loss_e5: 3.472e-01
[34][34/1000][1/1] | loss: 1.412e-01 | loss_train: 1.053e-01 | loss_e0: 9.966e-02 | loss_e1: 1.781e-01 | loss_e2: 1.037e-02 | loss_e3: 1.153e-02 | loss_e4: 2.628e-01 | loss_e5: 2.849e-01
[35][35/1000][1/1] | loss: 1.301e-01 | loss_train: 1.037e-01 | loss_e0: 9.285e-02 | loss_e1: 1.965e-01 | loss_e2: 8.195e-03 | loss_e3: 9.599e-03 | loss_e4: 2.708e-01 | loss_e5: 2.027e-01
[36][36/1000][1/1] | loss: 1.152e-01 | loss_train: 9.867e-02 | loss_e0: 8.919e-02 | loss_e1: 2.045e-01 | loss_e2: 7.032e-03 | loss_e3: 9.196e-03 | loss_e4: 2.690e-01 | loss_e5: 1.123e-01
[37][37/1000][1/1] | loss: 1.036e-01 | loss_train: 9.493e-02 | loss_e0: 8.680e-02 | loss_e1: 2.001e-01 | loss_e2: 6.647e-03 | loss_e3: 1.021e-02 | loss_e4: 2.619e-01 | loss_e5: 5.576e-02
[38][38/1000][1/1] | loss: 9.994e-02 | loss_train: 9.226e-02 | loss_e0: 8.424e-02 | loss_e1: 1.872e-01 | loss_e2: 6.831e-03 | loss_e3: 1.245e-02 | loss_e4: 2.526e-01 | loss_e5: 5.626e-02
[39][39/1000][1/1] | loss: 1.037e-01 | loss_train: 9.076e-02 | loss_e0: 8.020e-02 | loss_e1: 1.738e-01 | loss_e2: 7.396e-03 | loss_e3: 1.546e-02 | loss_e4: 2.449e-01 | loss_e5: 1.006e-01
[40][40/1000][1/1] | loss: 1.058e-01 | loss_train: 8.633e-02 | loss_e0: 7.374e-02 | loss_e1: 1.643e-01 | loss_e2: 8.322e-03 | loss_e3: 1.844e-02 | loss_e4: 2.408e-01 | loss_e5: 1.290e-01
[41][41/1000][1/1] | loss: 1.008e-01 | loss_train: 8.262e-02 | loss_e0: 6.459e-02 | loss_e1: 1.591e-01 | loss_e2: 9.848e-03 | loss_e3: 2.070e-02 | loss_e4: 2.382e-01 | loss_e5: 1.125e-01
[42][42/1000][1/1] | loss: 9.247e-02 | loss_train: 8.403e-02 | loss_e0: 5.275e-02 | loss_e1: 1.572e-01 | loss_e2: 1.228e-02 | loss_e3: 2.190e-02 | loss_e4: 2.366e-01 | loss_e5: 7.404e-02
[43][43/1000][1/1] | loss: 8.578e-02 | loss_train: 8.049e-02 | loss_e0: 4.014e-02 | loss_e1: 1.572e-01 | loss_e2: 1.461e-02 | loss_e3: 2.124e-02 | loss_e4: 2.367e-01 | loss_e5: 4.468e-02
[44][44/1000][1/1] | loss: 8.140e-02 | loss_train: 7.803e-02 | loss_e0: 2.978e-02 | loss_e1: 1.575e-01 | loss_e2: 1.490e-02 | loss_e3: 1.892e-02 | loss_e4: 2.354e-01 | loss_e5: 3.199e-02
[45][45/1000][1/1] | loss: 7.783e-02 | loss_train: 7.320e-02 | loss_e0: 2.521e-02 | loss_e1: 1.563e-01 | loss_e2: 1.301e-02 | loss_e3: 1.537e-02 | loss_e4: 2.298e-01 | loss_e5: 2.726e-02
