Number of learnable parameters: 50402
train_leads.py sm --device cuda:0
Calling the run method
[1][1/4000][1/1] | loss: 3.315e+00 | loss_train: 5.586e-01 | loss_e0: 6.601e+00 | loss_e1: 6.412e+00 | loss_e2: 6.231e+00 | loss_e3: 6.617e+00 | loss_e4: 5.866e+00 | loss_e5: 6.253e+00 | loss_e6: 5.905e+00 | loss_e7: 4.067e+00 | loss_e8: 3.570e+00 | loss_e9: 3.050e+00 | loss_e10: 2.821e+00 | loss_e11: 2.280e+00 | loss_e12: 1.726e+00 | loss_e13: 1.800e+00 | loss_e14: 1.157e+00 | loss_e15: 1.100e+00 | loss_e16: 1.022e+00 | loss_e17: 8.951e-01 | loss_e18: 7.663e-01 | loss_e19: 7.236e-01 | loss_e20: 7.567e-01
[12][12/4000][1/1] | loss: 5.165e-01 | loss_train: 2.757e-01 | loss_e0: 7.129e-01 | loss_e1: 6.572e-01 | loss_e2: 7.434e-01 | loss_e3: 6.938e-01 | loss_e4: 6.306e-01 | loss_e5: 4.833e-01 | loss_e6: 3.739e-01 | loss_e7: 7.022e-02 | loss_e8: 5.805e-02 | loss_e9: 6.840e-02 | loss_e10: 2.755e-01 | loss_e11: 1.706e-01 | loss_e12: 2.203e-01 | loss_e13: 3.240e-01 | loss_e14: 7.500e-01 | loss_e15: 9.082e-01 | loss_e16: 8.459e-01 | loss_e17: 9.080e-01 | loss_e18: 7.860e-01 | loss_e19: 5.844e-01 | loss_e20: 5.820e-01
[13][13/4000][1/1] | loss: 4.810e-01 | loss_train: 2.569e-01 | loss_e0: 6.512e-01 | loss_e1: 6.055e-01 | loss_e2: 6.906e-01 | loss_e3: 6.408e-01 | loss_e4: 5.798e-01 | loss_e5: 4.302e-01 | loss_e6: 3.309e-01 | loss_e7: 5.439e-02 | loss_e8: 4.215e-02 | loss_e9: 5.181e-02 | loss_e10: 2.610e-01 | loss_e11: 1.399e-01 | loss_e12: 1.927e-01 | loss_e13: 2.924e-01 | loss_e14: 7.168e-01 | loss_e15: 8.841e-01 | loss_e16: 8.144e-01 | loss_e17: 8.728e-01 | loss_e18: 7.610e-01 | loss_e19: 5.423e-01 | loss_e20: 5.471e-01
[14][14/4000][1/1] | loss: 4.415e-01 | loss_train: 2.424e-01 | loss_e0: 6.021e-01 | loss_e1: 5.639e-01 | loss_e2: 6.470e-01 | loss_e3: 5.978e-01 | loss_e4: 5.355e-01 | loss_e5: 3.835e-01 | loss_e6: 2.919e-01 | loss_e7: 4.255e-02 | loss_e8: 3.124e-02 | loss_e9: 4.036e-02 | loss_e10: 2.507e-01 | loss_e11: 1.138e-01 | loss_e12: 1.688e-01 | loss_e13: 2.616e-01 | loss_e14: 6.592e-01 | loss_e15: 8.327e-01 | loss_e16: 7.609e-01 | loss_e17: 8.171e-01 | loss_e18: 7.135e-01 | loss_e19: 4.742e-01 | loss_e20: 4.828e-01
[15][15/4000][1/1] | loss: 3.972e-01 | loss_train: 2.283e-01 | loss_e0: 5.612e-01 | loss_e1: 5.285e-01 | loss_e2: 6.092e-01 | loss_e3: 5.599e-01 | loss_e4: 4.936e-01 | loss_e5: 3.391e-01 | loss_e6: 2.534e-01 | loss_e7: 3.342e-02 | loss_e8: 2.418e-02 | loss_e9: 3.292e-02 | loss_e10: 2.437e-01 | loss_e11: 9.247e-02 | loss_e12: 1.481e-01 | loss_e13: 2.322e-01 | loss_e14: 5.778e-01 | loss_e15: 7.544e-01 | loss_e16: 6.891e-01 | loss_e17: 7.443e-01 | loss_e18: 6.469e-01 | loss_e19: 3.851e-01 | loss_e20: 3.923e-01
[16][16/4000][1/1] | loss: 3.484e-01 | loss_train: 2.111e-01 | loss_e0: 5.254e-01 | loss_e1: 4.965e-01 | loss_e2: 5.750e-01 | loss_e3: 5.243e-01 | loss_e4: 4.519e-01 | loss_e5: 2.950e-01 | loss_e6: 2.140e-01 | loss_e7: 2.624e-02 | loss_e8: 2.012e-02 | loss_e9: 2.868e-02 | loss_e10: 2.396e-01 | loss_e11: 7.562e-02 | loss_e12: 1.299e-01 | loss_e13: 2.033e-01 | loss_e14: 4.737e-01 | loss_e15: 6.470e-01 | loss_e16: 6.015e-01 | loss_e17: 6.579e-01 | loss_e18: 5.623e-01 | loss_e19: 2.852e-01 | loss_e20: 2.830e-01
[17][17/4000][1/1] | loss: 2.988e-01 | loss_train: 2.010e-01 | loss_e0: 4.921e-01 | loss_e1: 4.656e-01 | loss_e2: 5.426e-01 | loss_e3: 4.875e-01 | loss_e4: 4.079e-01 | loss_e5: 2.485e-01 | loss_e6: 1.718e-01 | loss_e7: 2.062e-02 | loss_e8: 1.835e-02 | loss_e9: 2.725e-02 | loss_e10: 2.393e-01 | loss_e11: 6.356e-02 | loss_e12: 1.151e-01 | loss_e13: 1.778e-01 | loss_e14: 3.643e-01 | loss_e15: 5.217e-01 | loss_e16: 5.053e-01 | loss_e17: 5.639e-01 | loss_e18: 4.671e-01 | loss_e19: 1.970e-01 | loss_e20: 1.774e-01
[18][18/4000][1/1] | loss: 2.557e-01 | loss_train: 1.854e-01 | loss_e0: 4.595e-01 | loss_e1: 4.345e-01 | loss_e2: 5.111e-01 | loss_e3: 4.499e-01 | loss_e4: 3.625e-01 | loss_e5: 2.022e-01 | loss_e6: 1.304e-01 | loss_e7: 1.668e-02 | loss_e8: 1.832e-02 | loss_e9: 2.774e-02 | loss_e10: 2.418e-01 | loss_e11: 5.573e-02 | loss_e12: 1.034e-01 | loss_e13: 1.556e-01 | loss_e14: 2.743e-01 | loss_e15: 3.903e-01 | loss_e16: 4.092e-01 | loss_e17: 4.700e-01 | loss_e18: 3.722e-01 | loss_e19: 1.573e-01 | loss_e20: 1.264e-01
[19][19/4000][1/1] | loss: 2.266e-01 | loss_train: 1.755e-01 | loss_e0: 4.266e-01 | loss_e1: 4.023e-01 | loss_e2: 4.798e-01 | loss_e3: 4.116e-01 | loss_e4: 3.174e-01 | loss_e5: 1.590e-01 | loss_e6: 9.365e-02 | loss_e7: 1.436e-02 | loss_e8: 1.946e-02 | loss_e9: 2.909e-02 | loss_e10: 2.455e-01 | loss_e11: 5.157e-02 | loss_e12: 9.384e-02 | loss_e13: 1.360e-01 | loss_e14: 2.214e-01 | loss_e15: 2.857e-01 | loss_e16: 3.243e-01 | loss_e17: 3.869e-01 | loss_e18: 2.899e-01 | loss_e19: 1.778e-01 | loss_e20: 1.917e-01
[20][20/4000][1/1] | loss: 2.077e-01 | loss_train: 1.683e-01 | loss_e0: 3.927e-01 | loss_e1: 3.689e-01 | loss_e2: 4.489e-01 | loss_e3: 3.734e-01 | loss_e4: 2.745e-01 | loss_e5: 1.223e-01 | loss_e6: 6.559e-02 | loss_e7: 1.348e-02 | loss_e8: 2.111e-02 | loss_e9: 3.027e-02 | loss_e10: 2.495e-01 | loss_e11: 5.071e-02 | loss_e12: 8.573e-02 | loss_e13: 1.188e-01 | loss_e14: 1.952e-01 | loss_e15: 2.329e-01 | loss_e16: 2.607e-01 | loss_e17: 3.218e-01 | loss_e18: 2.291e-01 | loss_e19: 2.065e-01 | loss_e20: 3.003e-01
[21][21/4000][1/1] | loss: 1.880e-01 | loss_train: 1.602e-01 | loss_e0: 3.578e-01 | loss_e1: 3.348e-01 | loss_e2: 4.189e-01 | loss_e3: 3.366e-01 | loss_e4: 2.358e-01 | loss_e5: 9.324e-02 | loss_e6: 4.768e-02 | loss_e7: 1.375e-02 | loss_e8: 2.209e-02 | loss_e9: 2.987e-02 | loss_e10: 2.534e-01 | loss_e11: 5.244e-02 | loss_e12: 7.843e-02 | loss_e13: 1.037e-01 | loss_e14: 1.749e-01 | loss_e15: 2.196e-01 | loss_e16: 2.238e-01 | loss_e17: 2.774e-01 | loss_e18: 1.919e-01 | loss_e19: 1.905e-01 | loss_e20: 2.908e-01
[22][22/4000][1/1] | loss: 1.664e-01 | loss_train: 1.503e-01 | loss_e0: 3.218e-01 | loss_e1: 3.001e-01 | loss_e2: 3.898e-01 | loss_e3: 3.022e-01 | loss_e4: 2.024e-01 | loss_e5: 7.338e-02 | loss_e6: 3.772e-02 | loss_e7: 1.450e-02 | loss_e8: 2.127e-02 | loss_e9: 2.706e-02 | loss_e10: 2.577e-01 | loss_e11: 5.407e-02 | loss_e12: 7.093e-02 | loss_e13: 9.015e-02 | loss_e14: 1.607e-01 | loss_e15: 2.074e-01 | loss_e16: 2.090e-01 | loss_e17: 2.507e-01 | loss_e18: 1.729e-01 | loss_e19: 1.420e-01 | loss_e20: 1.895e-01
[23][23/4000][1/1] | loss: 1.492e-01 | loss_train: 1.416e-01 | loss_e0: 2.848e-01 | loss_e1: 2.655e-01 | loss_e2: 3.613e-01 | loss_e3: 2.706e-01 | loss_e4: 1.758e-01 | loss_e5: 6.047e-02 | loss_e6: 3.151e-02 | loss_e7: 1.459e-02 | loss_e8: 1.881e-02 | loss_e9: 2.225e-02 | loss_e10: 2.626e-01 | loss_e11: 5.229e-02 | loss_e12: 6.215e-02 | loss_e13: 7.717e-02 | loss_e14: 1.622e-01 | loss_e15: 1.879e-01 | loss_e16: 2.043e-01 | loss_e17: 2.358e-01 | loss_e18: 1.636e-01 | loss_e19: 1.087e-01 | loss_e20: 1.103e-01
[24][24/4000][1/1] | loss: 1.387e-01 | loss_train: 1.331e-01 | loss_e0: 2.473e-01 | loss_e1: 2.312e-01 | loss_e2: 3.328e-01 | loss_e3: 2.430e-01 | loss_e4: 1.557e-01 | loss_e5: 5.126e-02 | loss_e6: 2.590e-02 | loss_e7: 1.328e-02 | loss_e8: 1.608e-02 | loss_e9: 1.686e-02 | loss_e10: 2.684e-01 | loss_e11: 4.707e-02 | loss_e12: 5.278e-02 | loss_e13: 6.508e-02 | loss_e14: 1.768e-01 | loss_e15: 1.800e-01 | loss_e16: 2.000e-01 | loss_e17: 2.269e-01 | loss_e18: 1.586e-01 | loss_e19: 1.091e-01 | loss_e20: 9.535e-02
[25][25/4000][1/1] | loss: 1.329e-01 | loss_train: 1.265e-01 | loss_e0: 2.100e-01 | loss_e1: 1.979e-01 | loss_e2: 3.034e-01 | loss_e3: 2.197e-01 | loss_e4: 1.421e-01 | loss_e5: 4.396e-02 | loss_e6: 2.038e-02 | loss_e7: 1.117e-02 | loss_e8: 1.413e-02 | loss_e9: 1.198e-02 | loss_e10: 2.748e-01 | loss_e11: 4.023e-02 | loss_e12: 4.317e-02 | loss_e13: 5.363e-02 | loss_e14: 1.863e-01 | loss_e15: 1.915e-01 | loss_e16: 1.952e-01 | loss_e17: 2.193e-01 | loss_e18: 1.554e-01 | loss_e19: 1.311e-01 | loss_e20: 1.250e-01
[26][26/4000][1/1] | loss: 1.283e-01 | loss_train: 1.176e-01 | loss_e0: 1.740e-01 | loss_e1: 1.662e-01 | loss_e2: 2.727e-01 | loss_e3: 2.010e-01 | loss_e4: 1.340e-01 | loss_e5: 3.820e-02 | loss_e6: 1.569e-02 | loss_e7: 1.051e-02 | loss_e8: 1.326e-02 | loss_e9: 8.539e-03 | loss_e10: 2.807e-01 | loss_e11: 3.355e-02 | loss_e12: 3.414e-02 | loss_e13: 4.284e-02 | loss_e14: 1.814e-01 | loss_e15: 2.117e-01 | loss_e16: 1.889e-01 | loss_e17: 2.131e-01 | loss_e18: 1.536e-01 | loss_e19: 1.545e-01 | loss_e20: 1.655e-01
[27][27/4000][1/1] | loss: 1.224e-01 | loss_train: 1.109e-01 | loss_e0: 1.409e-01 | loss_e1: 1.373e-01 | loss_e2: 2.410e-01 | loss_e3: 1.864e-01 | loss_e4: 1.296e-01 | loss_e5: 3.467e-02 | loss_e6: 1.291e-02 | loss_e7: 1.375e-02 | loss_e8: 1.307e-02 | loss_e9: 6.740e-03 | loss_e10: 2.852e-01 | loss_e11: 2.791e-02 | loss_e12: 2.648e-02 | loss_e13: 3.292e-02 | loss_e14: 1.591e-01 | loss_e15: 2.250e-01 | loss_e16: 1.829e-01 | loss_e17: 2.074e-01 | loss_e18: 1.516e-01 | loss_e19: 1.619e-01 | loss_e20: 1.933e-01
[28][28/4000][1/1] | loss: 1.146e-01 | loss_train: 1.010e-01 | loss_e0: 1.124e-01 | loss_e1: 1.130e-01 | loss_e2: 2.106e-01 | loss_e3: 1.756e-01 | loss_e4: 1.271e-01 | loss_e5: 3.335e-02 | loss_e6: 1.211e-02 | loss_e7: 1.667e-02 | loss_e8: 1.290e-02 | loss_e9: 6.454e-03 | loss_e10: 2.860e-01 | loss_e11: 2.330e-02 | loss_e12: 2.018e-02 | loss_e13: 2.397e-02 | loss_e14: 1.226e-01 | loss_e15: 2.204e-01 | loss_e16: 1.778e-01 | loss_e17: 2.025e-01 | loss_e18: 1.504e-01 | loss_e19: 1.562e-01 | loss_e20: 2.025e-01
[29][29/4000][1/1] | loss: 1.056e-01 | loss_train: 9.548e-02 | loss_e0: 8.936e-02 | loss_e1: 9.528e-02 | loss_e2: 1.879e-01 | loss_e3: 1.681e-01 | loss_e4: 1.261e-01 | loss_e5: 3.359e-02 | loss_e6: 1.249e-02 | loss_e7: 1.205e-02 | loss_e8: 1.258e-02 | loss_e9: 7.507e-03 | loss_e10: 2.837e-01 | loss_e11: 1.966e-02 | loss_e12: 1.544e-02 | loss_e13: 1.689e-02 | loss_e14: 8.832e-02 | loss_e15: 1.988e-01 | loss_e16: 1.740e-01 | loss_e17: 1.985e-01 | loss_e18: 1.488e-01 | loss_e19: 1.380e-01 | loss_e20: 1.904e-01
[30][30/4000][1/1] | loss: 9.763e-02 | loss_train: 8.628e-02 | loss_e0: 7.295e-02 | loss_e1: 8.719e-02 | loss_e2: 1.864e-01 | loss_e3: 1.646e-01 | loss_e4: 1.263e-01 | loss_e5: 3.358e-02 | loss_e6: 1.286e-02 | loss_e7: 5.661e-03 | loss_e8: 1.218e-02 | loss_e9: 9.414e-03 | loss_e10: 2.774e-01 | loss_e11: 1.669e-02 | loss_e12: 1.187e-02 | loss_e13: 1.178e-02 | loss_e14: 7.909e-02 | loss_e15: 1.567e-01 | loss_e16: 1.707e-01 | loss_e17: 1.961e-01 | loss_e18: 1.463e-01 | loss_e19: 1.138e-01 | loss_e20: 1.586e-01
[31][31/4000][1/1] | loss: 9.526e-02 | loss_train: 8.589e-02 | loss_e0: 6.345e-02 | loss_e1: 9.124e-02 | loss_e2: 2.184e-01 | loss_e3: 1.671e-01 | loss_e4: 1.278e-01 | loss_e5: 3.230e-02 | loss_e6: 1.253e-02 | loss_e7: 6.113e-03 | loss_e8: 1.176e-02 | loss_e9: 1.081e-02 | loss_e10: 2.682e-01 | loss_e11: 1.431e-02 | loss_e12: 9.229e-03 | loss_e13: 8.806e-03 | loss_e14: 1.174e-01 | loss_e15: 1.261e-01 | loss_e16: 1.679e-01 | loss_e17: 1.962e-01 | loss_e18: 1.421e-01 | loss_e19: 9.114e-02 | loss_e20: 1.176e-01
[32][32/4000][1/1] | loss: 9.647e-02 | loss_train: 8.389e-02 | loss_e0: 6.112e-02 | loss_e1: 1.038e-01 | loss_e2: 2.591e-01 | loss_e3: 1.783e-01 | loss_e4: 1.304e-01 | loss_e5: 2.940e-02 | loss_e6: 1.174e-02 | loss_e7: 1.129e-02 | loss_e8: 1.068e-02 | loss_e9: 1.015e-02 | loss_e10: 2.566e-01 | loss_e11: 1.240e-02 | loss_e12: 7.306e-03 | loss_e13: 7.482e-03 | loss_e14: 1.658e-01 | loss_e15: 1.182e-01 | loss_e16: 1.633e-01 | loss_e17: 1.984e-01 | loss_e18: 1.369e-01 | loss_e19: 7.519e-02 | loss_e20: 7.830e-02
[33][33/4000][1/1] | loss: 9.563e-02 | loss_train: 8.197e-02 | loss_e0: 6.577e-02 | loss_e1: 1.161e-01 | loss_e2: 2.606e-01 | loss_e3: 1.984e-01 | loss_e4: 1.335e-01 | loss_e5: 2.579e-02 | loss_e6: 1.130e-02 | loss_e7: 1.134e-02 | loss_e8: 8.271e-03 | loss_e9: 7.798e-03 | loss_e10: 2.438e-01 | loss_e11: 1.088e-02 | loss_e12: 6.006e-03 | loss_e13: 7.136e-03 | loss_e14: 1.614e-01 | loss_e15: 1.284e-01 | loss_e16: 1.589e-01 | loss_e17: 2.017e-01 | loss_e18: 1.309e-01 | loss_e19: 6.831e-02 | loss_e20: 5.171e-02
[34][34/4000][1/1] | loss: 9.063e-02 | loss_train: 8.010e-02 | loss_e0: 7.541e-02 | loss_e1: 1.123e-01 | loss_e2: 2.229e-01 | loss_e3: 2.206e-01 | loss_e4: 1.359e-01 | loss_e5: 2.324e-02 | loss_e6: 1.202e-02 | loss_e7: 7.259e-03 | loss_e8: 5.446e-03 | loss_e9: 5.231e-03 | loss_e10: 2.299e-01 | loss_e11: 9.612e-03 | loss_e12: 5.252e-03 | loss_e13: 7.166e-03 | loss_e14: 1.138e-01 | loss_e15: 1.214e-01 | loss_e16: 1.543e-01 | loss_e17: 2.037e-01 | loss_e18: 1.248e-01 | loss_e19: 6.836e-02 | loss_e20: 4.464e-02
[35][35/4000][1/1] | loss: 8.609e-02 | loss_train: 7.632e-02 | loss_e0: 8.483e-02 | loss_e1: 9.264e-02 | loss_e2: 1.845e-01 | loss_e3: 2.351e-01 | loss_e4: 1.364e-01 | loss_e5: 2.286e-02 | loss_e6: 1.343e-02 | loss_e7: 5.360e-03 | loss_e8: 3.856e-03 | loss_e9: 3.486e-03 | loss_e10: 2.133e-01 | loss_e11: 8.570e-03 | loss_e12: 4.827e-03 | loss_e13: 7.536e-03 | loss_e14: 7.729e-02 | loss_e15: 1.202e-01 | loss_e16: 1.496e-01 | loss_e17: 2.051e-01 | loss_e18: 1.192e-01 | loss_e19: 6.902e-02 | loss_e20: 5.075e-02
[36][36/4000][1/1] | loss: 8.200e-02 | loss_train: 7.289e-02 | loss_e0: 8.855e-02 | loss_e1: 7.533e-02 | loss_e2: 1.701e-01 | loss_e3: 2.389e-01 | loss_e4: 1.362e-01 | loss_e5: 2.427e-02 | loss_e6: 1.319e-02 | loss_e7: 7.654e-03 | loss_e8: 4.227e-03 | loss_e9: 2.820e-03 | loss_e10: 1.958e-01 | loss_e11: 7.761e-03 | loss_e12: 4.984e-03 | loss_e13: 8.921e-03 | loss_e14: 5.314e-02 | loss_e15: 1.017e-01 | loss_e16: 1.453e-01 | loss_e17: 2.047e-01 | loss_e18: 1.146e-01 | loss_e19: 6.747e-02 | loss_e20: 5.645e-02
[37][37/4000][1/1] | loss: 7.888e-02 | loss_train: 7.114e-02 | loss_e0: 8.305e-02 | loss_e1: 6.995e-02 | loss_e2: 1.741e-01 | loss_e3: 2.326e-01 | loss_e4: 1.359e-01 | loss_e5: 2.555e-02 | loss_e6: 1.116e-02 | loss_e7: 9.836e-03 | loss_e8: 6.022e-03 | loss_e9: 3.144e-03 | loss_e10: 1.774e-01 | loss_e11: 7.313e-03 | loss_e12: 5.721e-03 | loss_e13: 1.159e-02 | loss_e14: 4.271e-02 | loss_e15: 8.952e-02 | loss_e16: 1.407e-01 | loss_e17: 2.014e-01 | loss_e18: 1.110e-01 | loss_e19: 6.373e-02 | loss_e20: 5.404e-02
