train_leads.py gs
[39][39/1200][1/1] | loss: 2.625e-02 | loss_train: 6.834e-03 | loss_e0: 2.887e-02 | loss_e1: 2.802e-02 | loss_e2: 2.186e-02
[40][40/1200][1/1] | loss: 2.770e-02 | loss_train: 7.861e-03 | loss_e0: 2.998e-02 | loss_e1: 3.176e-02 | loss_e2: 2.138e-02
[41][41/1200][1/1] | loss: 2.497e-02 | loss_train: 7.134e-03 | loss_e0: 2.713e-02 | loss_e1: 2.786e-02 | loss_e2: 1.993e-02
[42][42/1200][1/1] | loss: 2.184e-02 | loss_train: 7.079e-03 | loss_e0: 2.272e-02 | loss_e1: 2.382e-02 | loss_e2: 1.898e-02
[43][43/1200][1/1] | loss: 3.233e-02 | loss_train: 9.681e-03 | loss_e0: 4.538e-02 | loss_e1: 3.226e-02 | loss_e2: 1.935e-02
[44][44/1200][1/1] | loss: 4.828e-02 | loss_train: 7.061e-03 | loss_e0: 5.517e-02 | loss_e1: 6.871e-02 | loss_e2: 2.096e-02
[45][45/1200][1/1] | loss: 6.708e-02 | loss_train: 6.971e-03 | loss_e0: 7.684e-02 | loss_e1: 1.023e-01 | loss_e2: 2.211e-02
[46][46/1200][1/1] | loss: 4.203e-02 | loss_train: 6.698e-03 | loss_e0: 4.748e-02 | loss_e1: 6.011e-02 | loss_e2: 1.851e-02
[47][47/1200][1/1] | loss: 2.284e-02 | loss_train: 9.401e-03 | loss_e0: 2.660e-02 | loss_e1: 2.412e-02 | loss_e2: 1.782e-02
[48][48/1200][1/1] | loss: 2.388e-02 | loss_train: 6.793e-03 | loss_e0: 2.265e-02 | loss_e1: 3.111e-02 | loss_e2: 1.789e-02
[49][49/1200][1/1] | loss: 2.498e-02 | loss_train: 6.374e-03 | loss_e0: 2.231e-02 | loss_e1: 3.546e-02 | loss_e2: 1.717e-02
[50][50/1200][1/1] | loss: 2.041e-02 | loss_train: 6.991e-03 | loss_e0: 2.193e-02 | loss_e1: 2.187e-02 | loss_e2: 1.743e-02
[50][50/1200][1/1] | loss_test_mean: 2.819e-02 | loss_test_std: 3.839e-03
[51][51/1200][1/1] | loss: 2.898e-02 | loss_train: 5.958e-03 | loss_e0: 2.185e-02 | loss_e1: 4.337e-02 | loss_e2: 2.173e-02
[52][52/1200][1/1] | loss: 4.369e-02 | loss_train: 6.207e-03 | loss_e0: 2.203e-02 | loss_e1: 8.461e-02 | loss_e2: 2.444e-02
[53][53/1200][1/1] | loss: 3.647e-02 | loss_train: 5.772e-03 | loss_e0: 2.151e-02 | loss_e1: 6.850e-02 | loss_e2: 1.940e-02
[54][54/1200][1/1] | loss: 2.703e-02 | loss_train: 5.535e-03 | loss_e0: 3.250e-02 | loss_e1: 3.412e-02 | loss_e2: 1.449e-02
[55][55/1200][1/1] | loss: 2.661e-02 | loss_train: 5.979e-03 | loss_e0: 4.062e-02 | loss_e1: 2.558e-02 | loss_e2: 1.363e-02
[56][56/1200][1/1] | loss: 5.747e-02 | loss_train: 5.753e-03 | loss_e0: 1.870e-02 | loss_e1: 1.379e-01 | loss_e2: 1.583e-02
[57][57/1200][1/1] | loss: 7.617e-02 | loss_train: 5.705e-03 | loss_e0: 2.061e-02 | loss_e1: 1.916e-01 | loss_e2: 1.627e-02
[58][58/1200][1/1] | loss: 5.480e-02 | loss_train: 5.162e-03 | loss_e0: 2.167e-02 | loss_e1: 1.283e-01 | loss_e2: 1.444e-02
[59][59/1200][1/1] | loss: 3.811e-02 | loss_train: 5.473e-03 | loss_e0: 4.250e-02 | loss_e1: 6.000e-02 | loss_e2: 1.182e-02
[60][60/1200][1/1] | loss: 3.272e-02 | loss_train: 5.084e-03 | loss_e0: 2.886e-02 | loss_e1: 5.474e-02 | loss_e2: 1.456e-02
[61][61/1200][1/1] | loss: 3.314e-02 | loss_train: 6.020e-03 | loss_e0: 2.003e-02 | loss_e1: 6.038e-02 | loss_e2: 1.900e-02
[62][62/1200][1/1] | loss: 3.669e-02 | loss_train: 4.917e-03 | loss_e0: 2.065e-02 | loss_e1: 6.912e-02 | loss_e2: 2.030e-02
[63][63/1200][1/1] | loss: 2.426e-02 | loss_train: 5.331e-03 | loss_e0: 2.004e-02 | loss_e1: 3.602e-02 | loss_e2: 1.671e-02
[64][64/1200][1/1] | loss: 2.155e-02 | loss_train: 4.415e-03 | loss_e0: 2.270e-02 | loss_e1: 2.997e-02 | loss_e2: 1.199e-02
[65][65/1200][1/1] | loss: 2.925e-02 | loss_train: 4.477e-03 | loss_e0: 2.658e-02 | loss_e1: 3.012e-02 | loss_e2: 3.104e-02
[66][66/1200][1/1] | loss: 1.905e+03 | loss_train: 4.053e-03 | loss_e0: 5.714e+03 | loss_e1: 7.394e-02 | loss_e2: 6.089e-02
[67][67/1200][1/1] | loss: 3.698e+06 | loss_train: 4.030e-03 | loss_e0: 1.109e+07 | loss_e1: 3.181e-01 | loss_e2: 1.363e-02
[68][68/1200][1/1] | loss: 9.931e+05 | loss_train: 4.108e-03 | loss_e0: 2.979e+06 | loss_e1: 2.234e-01 | loss_e2: 7.738e-03
[69][69/1200][1/1] | loss: 2.449e+02 | loss_train: 4.221e-03 | loss_e0: 7.345e+02 | loss_e1: 9.325e-02 | loss_e2: 8.181e-03
[70][70/1200][1/1] | loss: 4.343e-01 | loss_train: 3.920e-03 | loss_e0: 1.276e+00 | loss_e1: 1.939e-02 | loss_e2: 7.494e-03
[71][71/1200][1/1] | loss: 5.773e+09 | loss_train: 3.564e-03 | loss_e0: 1.732e+10 | loss_e1: 1.723e-02 | loss_e2: 1.188e-02
[72][72/1200][1/1] | loss: 4.393e+11 | loss_train: 3.412e-03 | loss_e0: 1.318e+12 | loss_e1: 1.660e-02 | loss_e2: 1.439e-02
