train_leads.py gs
Calling the run method
[1][1/4000][1/1] | loss: 9.095e-02 | loss_train: 1.065e-02 | loss_e0: 9.635e-02 | loss_e1: 4.535e-02 | loss_e2: 1.311e-01
[2][2/4000][1/1] | loss: 8.829e-02 | loss_train: 1.059e-02 | loss_e0: 9.323e-02 | loss_e1: 4.458e-02 | loss_e2: 1.270e-01
[3][3/4000][1/1] | loss: 8.584e-02 | loss_train: 1.054e-02 | loss_e0: 9.040e-02 | loss_e1: 4.396e-02 | loss_e2: 1.232e-01
[4][4/4000][1/1] | loss: 8.350e-02 | loss_train: 1.049e-02 | loss_e0: 8.771e-02 | loss_e1: 4.345e-02 | loss_e2: 1.193e-01
[5][5/4000][1/1] | loss: 8.118e-02 | loss_train: 1.056e-02 | loss_e0: 8.507e-02 | loss_e1: 4.303e-02 | loss_e2: 1.154e-01
[6][6/4000][1/1] | loss: 7.882e-02 | loss_train: 1.038e-02 | loss_e0: 8.238e-02 | loss_e1: 4.267e-02 | loss_e2: 1.114e-01
[7][7/4000][1/1] | loss: 7.640e-02 | loss_train: 1.038e-02 | loss_e0: 7.960e-02 | loss_e1: 4.239e-02 | loss_e2: 1.072e-01
[8][8/4000][1/1] | loss: 7.388e-02 | loss_train: 1.026e-02 | loss_e0: 7.669e-02 | loss_e1: 4.217e-02 | loss_e2: 1.028e-01
[9][9/4000][1/1] | loss: 7.126e-02 | loss_train: 1.020e-02 | loss_e0: 7.365e-02 | loss_e1: 4.203e-02 | loss_e2: 9.810e-02
[10][10/4000][1/1] | loss: 6.852e-02 | loss_train: 1.014e-02 | loss_e0: 7.046e-02 | loss_e1: 4.196e-02 | loss_e2: 9.316e-02
[11][11/4000][1/1] | loss: 6.569e-02 | loss_train: 1.007e-02 | loss_e0: 6.713e-02 | loss_e1: 4.197e-02 | loss_e2: 8.796e-02
[12][12/4000][1/1] | loss: 6.277e-02 | loss_train: 9.991e-03 | loss_e0: 6.371e-02 | loss_e1: 4.205e-02 | loss_e2: 8.254e-02
[13][13/4000][1/1] | loss: 5.980e-02 | loss_train: 9.915e-03 | loss_e0: 6.024e-02 | loss_e1: 4.221e-02 | loss_e2: 7.696e-02
[14][14/4000][1/1] | loss: 5.685e-02 | loss_train: 9.880e-03 | loss_e0: 5.679e-02 | loss_e1: 4.245e-02 | loss_e2: 7.132e-02
[15][15/4000][1/1] | loss: 5.401e-02 | loss_train: 1.045e-02 | loss_e0: 5.348e-02 | loss_e1: 4.275e-02 | loss_e2: 6.579e-02
[16][16/4000][1/1] | loss: 5.133e-02 | loss_train: 9.893e-03 | loss_e0: 5.038e-02 | loss_e1: 4.314e-02 | loss_e2: 6.049e-02
[17][17/4000][1/1] | loss: 4.897e-02 | loss_train: 9.613e-03 | loss_e0: 4.770e-02 | loss_e1: 4.360e-02 | loss_e2: 5.560e-02
[18][18/4000][1/1] | loss: 4.701e-02 | loss_train: 9.551e-03 | loss_e0: 4.557e-02 | loss_e1: 4.415e-02 | loss_e2: 5.132e-02
[19][19/4000][1/1] | loss: 4.558e-02 | loss_train: 9.503e-03 | loss_e0: 4.411e-02 | loss_e1: 4.478e-02 | loss_e2: 4.783e-02
[20][20/4000][1/1] | loss: 4.471e-02 | loss_train: 1.051e-02 | loss_e0: 4.339e-02 | loss_e1: 4.548e-02 | loss_e2: 4.526e-02
[21][21/4000][1/1] | loss: 4.441e-02 | loss_train: 1.171e-02 | loss_e0: 4.333e-02 | loss_e1: 4.633e-02 | loss_e2: 4.358e-02
